一级分类,二级分类,疾病,挂什么科,哪些症状,好发人群,治疗方法,治疗费用,是否传染,患病比例,治愈率,治疗周期,html
内科,心血管内科,室性心动过速,心血管内科,异位性心动过速、心动过速,无特殊发病群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.006%,70%,3个月,https://tag.120ask.com/jibing/sxxdgs/
内科,心血管内科,病毒性心肌炎,心血管内科,心律失常、发烧、腹泻、心脏杂音、心悸、心力衰竭、胸闷、乏力、头晕、晕厥、心脏扩大、心率过缓,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（10000-50000元）,否,0.004%,60%,3-6个月,https://tag.120ask.com/jibing/bdxxjy/
内科,心血管内科,充血性心力衰竭,心血管内科,疲劳、乏力、劳力性呼吸困难、咳嗽、第三心音奔马律 、肝-颈静脉回流征阳性、肺淤血、肝淤血、恶心、呕吐、腹胀、便秘,大多数心血管疾病的最终归宿,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（10000 —— 50000元）,否,0.05%,60%,3个月,https://tag.120ask.com/jibing/cxxxlsj/
内科,心血管内科,低血压,心血管内科,头晕乏力、消化不良、心脑供血不足、疲乏 、内分泌功能减退、 慢性头痛、 心前区隐痛 、下肢血压偏低、 腰膝酸软,20-40岁女性人群尤为多发,西医药物治疗、中医治疗治疗,根据不同医院，收费标准不一致，市三甲医院约（1000 —— 2000元,否,0.2%-0.5%,90%,5-20天,https://tag.120ask.com/jibing/dxy/
内科,心血管内科,大动脉炎,心血管内科,眩晕、视力视野改变、肌肉萎缩、颈动脉搏动减弱或消失、心慌、食欲不振、恶心、体重减轻、月经失调、头晕、头痛、疼痛,多见于年青女性,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（10000 —— 30000元）,否,0.0031%,50--70%,14--30天,https://tag.120ask.com/jibing/ddmy/
内科,心血管内科,动脉瘤,血管外科,动脉样壁、动脉枪击音、血管搏动或波形的改变,所有人群,手术治疗动脉瘤切除、血管重建,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 5000元）,否,0.001%,70%,3--8周,https://tag.120ask.com/jibing/dml/
内科,心血管内科,动脉硬化,心血管内科,头晕、心绞痛、胸痛、头痛、心音异常、心脏杂音、血管硬化、动脉呈多处伸长扭曲状、动脉粥样硬化,青少年时期发生，中老年时期加重、发病,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 5000元）,否,0.035%,85%,3个月,https://tag.120ask.com/jibing/dmyh/
内科,心血管内科,动脉粥样硬化,血管外科,胸痛、气急、吞咽困难、咯血、声音嘶哑、气管移位、气管阻塞,中老年人群,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 5000元）,否,0.058%,,终身间歇性对症治疗,https://tag.120ask.com/jibing/dmzyyh/
内科,心血管内科,风湿热,风湿科,发热、咽痛、颌下淋巴结肿大、类风湿关节炎、心悸、气短、心力衰竭、心动过速、心律失常、心脏增大、低热、鼻出血、收缩期杂音 、心脏杂音,本病初发年龄以9~17岁多见，主要发生在青少年,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.05%,80%,1-3个月,https://tag.120ask.com/jibing/fengshire/
内科,心血管内科,风湿性心脏病,心血管内科、风湿免疫科,胸闷、呼吸困难、咳嗽、晕厥、心悸,青壮年,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（10000-30000元）,否,0.05%,80%,3-6月,https://tag.120ask.com/jibing/fsxxzb/
内科,心血管内科,二尖瓣关闭不全,心胸外科,劳力性呼吸困难、端坐呼吸、疲乏、运动耐力降低、咯血、肝脏肿大、突发的左心衰竭、腿脚浮肿,无特殊发病群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.05%,60%,2-4月,https://tag.120ask.com/jibing/ejbgbbq/
内科,心血管内科,肥厚型心肌病,心胸外科,劳力性呼吸困难、胸闷、胸痛、一过性昏厥、心绞痛、呼吸急促、乏力、头晕、猝死、心力衰竭、心音异常、心律失常,所有群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.0004%,50-70%,20天,https://tag.120ask.com/jibing/fhxxjb/
内科,心血管内科,肺动脉高压,心血管内科,劳力性呼吸困难、乏力、晕厥、心绞痛、胸痛、咯血、声音嘶哑、下肢水肿、肺动脉瓣区可听到喷射音、收缩期反流性杂音、肝肿大、颈静脉怒张,无特殊发病群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.0025%,85%,14天,https://tag.120ask.com/jibing/fdmgy/
内科,心血管内科,感染性心内膜炎,心血管科,寒战发烧、心脏杂音、贫血、脾肿大、咳喘、憋气、不能平卧,先天性心脏病或者做过瓣膜手术的病人,药物治疗、支持疗法,根据不同医院，收费标准不一致，市三甲医院约（30000 —— 50000元）,否,0.0052%,70%,10-15天,https://tag.120ask.com/jibing/grxxnmy/
内科,心血管内科,高血压,内科-心血管内科,头晕头痛、恶心呕吐、视物不清、心悸气短,中老年人尤其是50岁以上人群,药物治疗、饮食疗法,根据不同医院，收费标准不一致，市三甲医院约200-5000元,否,12%(50岁以上患病概率30%-50%),0.0001%(终身性疾病),1-3个月,https://tag.120ask.com/jibing/gxy/
内科,心血管内科,高血压脑病,脑外科,高血压、头痛、心慌、雾视、血流阻力增加、脑细胞出现营养不良性蜕变、昏迷、头胀、脑功能不全、猝死、旋转性眩晕、血压波动大,高血压患者,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.02%-0.05%,80%,45天,https://tag.120ask.com/jibing/gxynb/
内科,心血管内科,高血压危象,心血管内科,高血压、头痛、恶心呕吐、视力障碍、烦躁不安、多汗症、口干、心悸、寒战、四肢震颤、视乳头水肿、视网膜出血,有高血压基础病,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000 —— 10000元）,否,人群患病概率0.27%,,治疗周期15天,https://tag.120ask.com/jibing/gxywx/
内科,心血管内科,冠心病,心血管内科,心绞痛、劳累或精神紧张时出现胸骨后或心前区闷痛、体力活动时出现胸闷,45岁以上的男性，55岁以上或者绝经后的女性,药物治疗、手术治疗、介入治疗,根据不同医院，收费标准不一致，市三甲医院约（5000--30000元）,否,0.15%,80%,3-6周,https://tag.120ask.com/jibing/gxb/
内科,心血管内科,扩张型心肌病,心血管内科,心力衰竭、心律失常、胸痛、心脏增大、窦房结病变、猝死、长段升主动脉发育不全、心脏杂音、交替脉、心包积液、右侧束支传导阻滞、心音异常,无特殊发病群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,发病率约为0.005%--0.006%,40-50%，多以对症治疗为主,终身治疗,https://tag.120ask.com/jibing/kzxxjb/
内科,心血管内科,脑动脉狭窄,神经内科,头晕、头痛、恶心、呕吐、视物不清,中老年,介入治疗、药物治疗,根据不同医院，收费标准不一致，市三甲医院约5000--50000元,否,0.01%,60%,30天,https://tag.120ask.com/jibing/ndmxz/
内科,心血管内科,颈动脉狭窄,血管外科,耳鸣、眩晕、黑蒙、雾视、颈后及肩部皮肤发硬、视力障碍、不能转颈、狭窄杂音、颈髓脱髓鞘性病变、产妇颈背酸痛、头痛、晨起时颈背部弥漫性剧痛,无特殊发病群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（10000-30000元）,否,60岁以上人群中患颈动脉狭窄者约占0.05%,60%,3个月,https://tag.120ask.com/jibing/jdmxz/
内科,心血管内科,神游症,中医科、精神科,梦游、被害妄想、抑郁,精神抑郁者多见,手术治疗、药物治疗,根据不同医院，收费标准不一致，市三甲医院约1-3万元,否,0.5%-1%,70%,1-3月,https://tag.120ask.com/jibing/syz/
内科,心血管内科,限制型心肌病,心血管内科,气急、咯血、肝肿大、下肢水肿、电生理异常、心悸、眩晕、晕厥、易昏厥、心脏增大、心力衰竭、倦怠肢冷,热带男性人群,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000 —— 8000元）,否,0.0001%-0.0003%,,终身间歇性治疗,https://tag.120ask.com/jibing/xzxxjb/
内科,心血管内科,心包积液,心胸外科,心包积液体征、心包积液、胸痛、气短,无特殊发病群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,恶性肿瘤患者并发心包积液发病率为3%,30%,3个月,https://tag.120ask.com/jibing/xbjy/
内科,心血管内科,心包炎,心血管内科,心包纤维增厚、心包膜发炎、 心包压塞、 心包填塞、 心包缩窄,所有人群,西医治疗、中医治疗,根据不同医院，收费标准不一致，市三甲医院约（1000 —— 3000元,否,0.001%,60%,1--3月,https://tag.120ask.com/jibing/xinbaoyan/
内科,心血管内科,心肌病,心血管内科,活动后气促、易疲乏、心率增快、血压下降、心律失常、心脏杂音,无特殊发病群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.001%,40%,1-2年,https://tag.120ask.com/jibing/xinjibing/
内科,心血管内科,心绞痛,心血管内科,心前区疼痛、胸闷、气短、乏力,中老年人群40周岁以上,西医治疗、中医治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 5000元）,否,0.1%,60%,1-7天,https://tag.120ask.com/jibing/xinjiaotong/
内科,心血管内科,主动脉瘤,心胸外科、血管外科,水肿、咳嗽、气急、吞咽困难,多见于老年男性,手术、药物治疗,根据不同医院，收费标准不一致，市三甲医院约（10000 —— 30000元）,否,0.0001%,70%,10-30天,https://tag.120ask.com/jibing/zdml/
内科,心血管内科,血管性痴呆,心血管内科,脑衰弱综合征、情绪不宁、失眠、智能减退、血管性痴呆、痴呆、精神障碍、焦虑、情感失禁现象、易激惹、全头痛、头痛,无特殊发病群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.001%,70%,3个月,https://tag.120ask.com/jibing/xgxcd/
内科,心血管内科,心脏神经官能症,心内科、精神科,自觉心悸、心前区痛、呼吸憋闷、易激动、多汗、颤抖、头晕、失眠,青年、壮年人群,药物治疗、中医治疗,根据不同医院，收费标准不一致，市三甲医院约（3000--8000元）,否,0.1%,80%,1-3个月,https://tag.120ask.com/jibing/xzsjgnz/
内科,心血管内科,主动脉夹层,心血管内科,剧烈疼痛、额部疼痛、颈部疼痛、肩胛放射性疼痛、心率增快、心绞痛、心肌梗死、夹层血肿、头晕、神志模糊、截瘫、腹痛,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 5000元）,否,高血压患者中本病的发病率约为0.006%--0.008%,,1-3个月,https://tag.120ask.com/jibing/zdmjc/
内科,心血管内科,预激综合征,心血管内科,心律失常、心动过速,无特殊发病群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.025%,80%,30天,https://tag.120ask.com/jibing/yjzhz/
内科,心血管内科,妊高征,产科,水肿、蛋白尿、先兆子痫、高血压、妊娠后期水肿、妊娠期高血压、妊娠蛋白尿、头痛、眼花、抽搐、昏迷,孕妇,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,特定人群5%,80%,3-6月,https://tag.120ask.com/jibing/rengaozheng/
内科,心血管内科,心力衰竭,心内科,呼吸困难、端坐呼吸、咳嗽、胸闷、气短,所有人群,西医药物治疗、中医药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（10000 —— 30000元）,否,0.006%,75%,1-3个月,https://tag.120ask.com/jibing/xlsj/
内科,心血管内科,心衰,内科,端坐呼吸、 心率增快、 烦躁不安 、粉红色泡沫痰、 晕厥、 胸痛伴胸闷、心悸、 双下肢可凹陷性水肿,中老年人,药物治疗,根据不同医院，收费标准不一致，市三甲医院约1000--3000元,否,0.001%,80%,7-10天,https://tag.120ask.com/jibing/xs/
内科,心血管内科,窦性心动过速,心血管科,呼吸气促、心悸胸闷、烦躁,老年人,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（10000 ——20000元,否,0.2%-0.5%,20%-40%,3天-30天,https://tag.120ask.com/jibing/xxdgs/
内科,心血管内科,窦性心动过缓,心内科,无明显症状或气短、疲劳、头晕、胸闷、晕厥,正常青年或运动员、心血管疾病患者,药物治疗,根据不同医院，收费标准不一致，市三甲医院约3000--10000,否,0.001%,99%,20天,https://tag.120ask.com/jibing/xxdgh/
内科,心血管内科,窦性停搏,心血管内科,窦性停搏、意识障碍、黑蒙、晕厥、昏迷、意识短暂中断、猝死、眩晕,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 5000元,否,0.0025%,70%,2-4周,https://tag.120ask.com/jibing/xtb/
内科,心血管内科,窦房传导阻滞,心血管内科,心悸、乏力、心搏漏跳、心率不齐、传导阻滞、窦房传导阻滞、头晕、昏迷、晕厥,无特殊发病群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.006%,70%,1-3个月,https://tag.120ask.com/jibing/fcdzz/
内科,心血管内科,病态窦房结综合征,心血管内科,窦性停搏、心动过缓、心动过速、心律失常、头痛、迷走神经张力增高、眩晕、心悸、窦房传导阻滞、高血钾、甲状腺功能低下、排尿过程中发生晕厥,老年人群尤其是60岁以上人群,手术治疗、药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 5000元）,否,0.04%,,1-2个月,https://tag.120ask.com/jibing/btfjzhz/
内科,心血管内科,房性心动过速,心胸外科,异位性心动过速、逆向型房室折返性心动过速、心动过速,无特殊发病群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,本病常见，多见于紧张、焦虑、激动者，发病率约为0.04%-0.08%,90%,1-2周,https://tag.120ask.com/jibing/fxxdgs/
内科,心血管内科,室性期前收缩,心血管内科,心悸、晕厥、低血压、心绞痛、心音异常、室颤、心律失常、胸痛,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（1000 —— 5000元）,否,0.005%,70%,2-4月,https://tag.120ask.com/jibing/sxqqss/
内科,心血管内科,房室传导阻滞,心血管内科,疲劳、头晕、晕厥、抽搐、疲乏、头昏、右心功能不全,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.012%,80%,30天,https://tag.120ask.com/jibing/fscdzz/
内科,心血管内科,室内传导阻滞,心内科,通常无临床症状、间可听到第二心音分裂,所有人群,西药治疗、中药治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约5000--10000元,否,人群患病概率0.32%,,需要终身治疗,https://tag.120ask.com/jibing/sncdzz/
内科,心血管内科,房间隔缺损,心胸外科,心悸、气短、疲劳、房间隔缺损、紫绀,所有人群,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 5000元,否,人群患病概率0.003%,,手术治疗周期14天,https://tag.120ask.com/jibing/fjgqs/
内科,心血管内科,室间隔缺损,心胸外科,心脏杂音、劳力性心悸、气急、活动受限,儿童,手术治疗,根据不同医院，收费标准不一致，市三甲医院约（50000-100000元）,否,0.0001%,60%,10-30天,https://tag.120ask.com/jibing/sjgqs/
内科,心血管内科,动脉导管未闭,心血管内科,紫绀、杵状指（趾）、心脏杂音、动脉导管未闭、水冲脉、毛细血管搏动,早产儿,手术治疗,根据不同医院，收费标准不一致，市三甲医院约（10000-50000元）,否,婴幼儿发病率约为0.002%-0.005%,,1-3个月,https://tag.120ask.com/jibing/dmdgwb/
内科,心血管内科,主动脉瓣狭窄,心血管内科,心绞痛、 呼吸困难、 端坐呼吸 、心力衰竭、 晕厥 、猝死,风湿病患者尤为多发,手术治疗、药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 5000元）,否,"在老年人中,主动脉瓣狭窄发病率为1%～2%",60%,1个月,https://tag.120ask.com/jibing/zdmbxz/
内科,心血管内科,肺动脉瓣狭窄,心内科,胸闷、气短、发憋,儿童,手术治疗、药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 5000元）,否,0.002%-0.003%(婴幼儿以及老年人多见),55%-75%,1-3个月,https://tag.120ask.com/jibing/fdmbxz/
内科,心血管内科,二尖瓣狭窄,心血管内科,呼吸困难、咯血、粉红色泡沫痰、胸痛伴胸闷、心悸、心悸、咳嗽、声音嘶哑、吞咽困难、疲乏、乏力、隔膜孔道狭小、收缩期杂音,中青年女性,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（50000-100000元）,否,0.003%,60%,3个月,https://tag.120ask.com/jibing/ejbxz/
内科,心血管内科,主动脉瓣关闭不全,心血管内科,心悸、呼吸困难、胸痛、头晕、一过性昏厥、心音微弱、股动脉枪击音、紫绀、收缩期和舒张期杂音、收缩期震颤、脉压差大、心力衰竭,男性人群多见,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（10000 —— 30000元,否,0.005%-0.007%,70%,1-2个月,https://tag.120ask.com/jibing/zdmbgbbq/
内科,心血管内科,三尖瓣狭窄,心胸外科,疲乏、食欲不振、恶心呕吐、嗳气、颈静脉怒张、肝肿大、腹水、心悸、心律失常、眩晕,多见于女性,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（10000 —— 50000元）,否,50岁以上中老年人发病率誉为0.03%--0.07%,,3-6个月,https://tag.120ask.com/jibing/sjbxz/
内科,心血管内科,三尖瓣关闭不全,心胸外科,疲乏、腹胀、右心衰竭、颈静脉怒张、收缩期反流性杂音、心脏杂音、心音异常、肺栓塞,无特殊发病群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.013%,80%,1-3个月,https://tag.120ask.com/jibing/sjbgbbq/
内科,心血管内科,肺动脉瓣关闭不全,心胸外科,心悸、气促，易患呼吸道感染，心力衰竭时出现浮肿，阵发性呼吸困难，肝大、尿少、心律不齐等,40岁以下人群,手术治疗、西药治疗,根据不同医院，收费标准不一致，市三甲医院约（10000—— 100000元）,否,人群患病概率0.15%,,手术治疗周期14天,https://tag.120ask.com/jibing/fdmbgbbq/
内科,心血管内科,缺血性心肌病,心血管内科,心绞痛、胸闷心悸、劳力性呼吸困难、阵发性夜间呼吸困难、疲乏、食欲缺乏、颈静脉充盈、颈静脉怒张,吸烟、高血脂、高血糖、高血压患者,药物治疗、支持疗法,根据不同医院，收费标准不一致，市三甲医院约（5000 —— 10000元）,否,0.002%,60%,1-3个月,https://tag.120ask.com/jibing/qxxxjb/
内科,心血管内科,酒精性心肌病,心血管内科,嗜酒、心律失常、心脏扩大、胸痛、胸腔积液、频发室性期前收缩、传导阻滞、假日心脏综合征、室颤、不典型胸痛、心绞痛、去首高血压,所有群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.003%-0.005%,70%,3-6个月,https://tag.120ask.com/jibing/jjxxjb/
内科,心血管内科,克山病,心血管内科,心律失常、休克、头晕、恶心、心力衰竭、右心功能不全、水肿、上腹不适、胸闷、心悸、呼吸困难、房室传导阻滞,低硒地区人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.002%,40%,10-30天,https://tag.120ask.com/jibing/keshanbing/
内科,心血管内科,心内膜炎,心血管内科,全身感染症状、心脏症状、栓塞及血管症状、心内膜弹力纤维增生,无特殊发病群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,发病率约为0.004%--0.007%,70-80%,3-6个月,https://tag.120ask.com/jibing/xnmy/
内科,心血管内科,急性心包炎,心血管内科,胸痛、呼吸困难、胸闷、刺痛、面色苍白、烦躁不安、咳嗽、咳痰、贫血、体重减轻,无特殊发病群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.0002%,70%,4周,https://tag.120ask.com/jibing/jxxby/
内科,心血管内科,缩窄性心包炎,心胸外科,腹胀、下肢水肿、颈静脉怒张、肝脏肿大、缩窄性心包炎、疲劳、发烧、胸痛、无力、疲乏、腹水,无特殊发病群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（10000-50000元）,否,0.01%--0.05%,30--50%,3周--3月,https://tag.120ask.com/jibing/szxxby/
内科,心血管内科,肾动脉狭窄,肾内科、心血管内科,高血压、肾小球滤过率下降、体内水钠潴留、肾衰竭、腹部血管杂音、肾动脉狭窄,主要见于中老年人,手术治疗,根据不同医院，收费标准不一致，市三甲医院约（10000-50000元）,否,0.002%,20%,30天,https://tag.120ask.com/jibing/sdmxz/
内科,心血管内科,短暂性脑缺血发作,神经内科,意识模糊、癫痫和癫痫样发作、眩晕、晕厥、猝倒、复视、平衡功能障碍、肢体或躯干麻木、单瘫、偏瘫、同向偏盲、神经失用,中老年人,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,高血压病患者发病率约0.1%-0.2%,60%,终身治疗,https://tag.120ask.com/jibing/dzxnqxfz/
内科,心血管内科,颞动脉炎,心血管内科,发热、不适、疲乏无力消瘦、多汗、贫血、头痛和关节痛、并伴有风湿性多发性肌痛症,发病年龄以50岁以上最多见，男女之比为1∶3,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 8000元）,否,0.001%,60%,1个月,https://tag.120ask.com/jibing/dongmaiyan/
内科,心血管内科,血脂异常,血液内科,头晕、血压高、头痛,中老年患者多见,中医药物治疗、西医药物治疗,根据不同医院，收费标准不一致，市三甲医院约（500 —— 1000元）,否,18.16%,90%,3个月,https://tag.120ask.com/jibing/xzyc/
内科,心血管内科,雷诺病,心血管内科,当遇冷或情绪激动时、手指皮肤出现苍白和紫绀、手指末梢有麻木、发凉和刺痛、经保暖后症状也随之消失、严重时皮肤干燥、肌肉萎缩、指甲脆裂,女性及铸铁工、机械工、石工、打字员、钢琴家,药物治疗、支持疗法,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 5000元）,否,发病率约0.02%--0.07%,60%，但多以控制症状为主,1-2年,https://tag.120ask.com/jibing/leinuobing/
内科,心血管内科,变应性肉芽肿血管炎,风湿免疫科,发热、咳嗽、哮喘、消瘦、肌肉疼痛、皮下结节、瘀斑、溃疡,所有人群，30～40岁为多见,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（500——2000元）,否,0.003%,40%,3个月,https://tag.120ask.com/jibing/byxryzxgy/
内科,心血管内科,三尖瓣闭锁,心胸外科,发绀、杵状指（趾）、肝肿大、水肿、颈静脉怒张、第一心音亢进 、心力衰竭、收缩期杂音 、三尖瓣狭窄、晕厥、第三心音奔马律 、心律失常,所有群体,手术治疗,根据不同医院，收费标准不一致，市三甲医院约（10000-30000元）,否,0.001%--0.005%,50%,1-6个月,https://tag.120ask.com/jibing/sjbbs/
内科,心血管内科,单心房,心胸外科,气急、紫绀、心力衰竭、杵状指（趾）、肺动脉杂音、收缩期杂音,婴幼儿,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（20000 —— 50000元）,否,本病罕见，发病率约为0.0001%,,终身治疗,https://tag.120ask.com/jibing/danxinfang/
